id	rate
94937	3.2
94964	8.6
94929	3.4
94903	7.3
94945	3.4
94941	7.8
94970	0
94933	9.1
94957	3.1
94904	5.5
94924	7.4
94965	4.5
94973	6.5
94950	3.3
94938	6.1
94960	3.1
94920	7.4
94939	8.1
94901	8.5
94940	9.8
94925	5
94971	2.3
94963	6.3
94956	3.5
94930	7.6
94949	2
94947	6.9
94946	3.8
94952	9
94972	2.2
